distance_bin,n,goals,xg_sum,xg_ps,goal_rate,xg_minus_goals,low_data
5-8,96,35,39.64869822733183,0.413,0.365,4.649,False
0-5,85,58,50.5534265464102,0.595,0.682,-7.447,False
8-10,10,1,2.6058558558558556,0.261,0.1,1.606,False
10+,7,4,1.7027027027027024,0.243,0.571,-2.297,True
,5,3,2.643050997094124,0.529,0.6,-0.357,True
