attack_type,n,goals,xg_sum,xg_ps,goal_rate,xg_minus_goals,low_data
perimeter,80,26,25.98725641129205,0.325,0.325,-0.013,False
counter,44,34,31.880865547533524,0.725,0.773,-2.119,False
set,22,12,11.014224830578048,0.501,0.545,-0.986,False
broken play,20,9,9.102330591461026,0.455,0.45,0.102,False
man-up,20,10,8.740310019783132,0.437,0.5,-1.26,False
5m penalty,12,9,8.442260442260443,0.704,0.75,-0.558,False
drive,4,1,1.7432432432432432,0.436,0.25,0.743,True
other,1,0,0.2432432432432432,0.243,0.0,0.243,True
