game_id,shots,xg_sum,xg_per_shot
1,26,12.538471104988194,0.482
10,27,15.170967190704033,0.562
11,12,4.6056066548288515,0.384
12,4,1.125,0.281
13,2,0.5177280471140335,0.259
14,1,0.4285714285714285,0.429
15,2,0.7969924812030074,0.398
2,18,9.069121667805877,0.504
3,16,6.795776205218929,0.425
4,18,6.209310039805396,0.345
5,10,4.479610959937461,0.448
6,15,7.470970006708904,0.498
7,22,11.693503477946201,0.532
8,23,14.293127538096577,0.621
9,7,2.4285714285714284,0.347
