game_id,shots,xg_sum,goals,xg_diff,xg_per_shot,goal_rate,low_data
1,26,12.530942687399838,12,-0.530942687399838,0.482,0.462,False
10,27,15.222751690142996,16,0.7772483098570042,0.564,0.593,False
11,12,4.431509148900453,7,2.568490851099547,0.369,0.583,False
12,4,1.098890217115597,2,0.901109782884403,0.275,0.5,True
13,2,0.4864864864864865,1,0.5135135135135135,0.243,0.5,True
14,1,0.4285714285714285,1,0.5714285714285714,0.429,1.0,True
15,2,0.7115238578447971,1,0.2884761421552029,0.356,0.5,True
2,18,8.966266412825693,11,2.033733587174307,0.498,0.611,False
3,16,6.768046617874085,7,0.2319533821259147,0.423,0.438,False
4,18,6.145137373398243,4,-2.145137373398243,0.341,0.222,False
5,10,4.419652704267999,4,-0.4196527042679987,0.442,0.4,False
6,15,7.362355217792796,4,-3.362355217792796,0.491,0.267,False
7,22,11.634591587542625,12,0.3654084124573771,0.529,0.545,False
8,23,14.5879215510139,17,2.412078448986101,0.634,0.739,False
9,7,2.359087348217783,2,-0.3590873482177832,0.337,0.286,True
