angle_bin,n,goals,xg_sum,xg_ps,goal_rate,xg_minus_goals,low_data
-15:+15,64,32,31.803189485266937,0.497,0.5,-0.197,False
+45:+90,39,18,19.665970939693565,0.504,0.462,1.666,False
-45:-30,30,17,17.42684073040988,0.581,0.567,0.427,False
+15:+30,23,14,14.65185353245958,0.637,0.609,0.652,False
-90:-45,18,7,8.345224463011133,0.464,0.389,1.345,False
-30:-15,15,6,6.788106100436096,0.453,0.4,0.788,False
+30:+45,14,6,5.985676142340326,0.428,0.429,-0.014,False
