game_id,video_file,status,inliers,good
4,IMG_2602.MOV,propagated,660,873
4,IMG_2604.MOV,propagated,779,951
4,IMG_2606.MOV,propagated,1053,1198
4,IMG_2608.MOV,propagated,828,1037
4,IMG_2610.MOV,propagated,1046,1189
4,IMG_2612.MOV,propagated,691,937
4,IMG_2613.MOV,propagated,655,1006
4,IMG_2615.MOV,propagated,465,614
4,IMG_2617.MOV,propagated,788,1045
4,IMG_2618.MOV,propagated,787,1027
4,IMG_2621.MOV,"match FAIL (inliers=7, good=80)",7,80
4,IMG_2622.MOV,"match FAIL (inliers=7, good=50)",7,50
4,IMG_2624.MOV,"match FAIL (inliers=1, good=59)",1,59
4,IMG_2625.MOV,"match FAIL (inliers=13, good=117)",13,117
4,IMG_2626.MOV,propagated,58,177
4,IMG_2628.MOV,propagated,618,768
4,IMG_2631.MOV,propagated,75,174
4,IMG_2633.MOV,propagated,60,193
4,IMG_2635.MOV,"match FAIL (inliers=6, good=74)",6,74
4,IMG_2636.MOV,"match FAIL (inliers=6, good=43)",6,43
4,IMG_2638.MOV,"match FAIL (inliers=6, good=37)",6,37
5,IMG_2644.MOV,propagated,3000,3000
5,IMG_2645.MOV,propagated,1017,1232
5,IMG_2647.MOV,propagated,240,501
5,IMG_2648.MOV,propagated,559,739
5,IMG_2650.MOV,propagated,582,782
5,IMG_2652.MOV,propagated,561,890
5,IMG_2654.MOV,propagated,320,563
5,IMG_2655.MOV,propagated,1120,1252
5,IMG_2658.MOV,propagated,553,768
5,IMG_2659.MOV,propagated,489,674
5,IMG_2663.MOV,"match FAIL (inliers=6, good=53)",6,53
5,IMG_2666.MOV,propagated,60,195
5,IMG_2667.MOV,propagated,69,239
5,IMG_2669.MOV,propagated,79,229
5,IMG_2675.MOV,"match FAIL (inliers=14, good=142)",14,142
5,IMG_2677.MOV,"match FAIL (inliers=6, good=49)",6,49
5,IMG_2678.MOV,propagated,31,153
5,IMG_2680.MOV,"match FAIL (inliers=7, good=57)",7,57
5,IMG_2681.MOV,"match FAIL (inliers=7, good=48)",7,48
5,IMG_2685.MOV,"match FAIL (inliers=15, good=126)",15,126
5,IMG_2687.MOV,"match FAIL (inliers=0, good=71)",0,71
6,IMG_4559.MOV,propagated,3000,3000
6,IMG_4560.MOV,propagated,247,549
6,IMG_4561.MOV,propagated,252,412
6,IMG_4564.MOV,propagated,210,348
6,IMG_4566.MOV,propagated,172,307
6,IMG_4567.MOV,propagated,199,354
6,IMG_4570_1.MOV,propagated,140,273
6,IMG_4571.MOV,propagated,139,294
6,IMG_4572.MOV,propagated,171,351
6,IMG_4577.MOV,propagated,70,186
6,IMG_4579.MOV,"match FAIL (inliers=6, good=48)",6,48
6,IMG_4581.MOV,"match FAIL (inliers=6, good=45)",6,45
6,IMG_4583.MOV,"match FAIL (inliers=7, good=62)",7,62
6,IMG_4585.MOV,"match FAIL (inliers=6, good=40)",6,40
6,IMG_4587.MOV,"match FAIL (inliers=6, good=41)",6,41
6,IMG_4588.MOV,"match FAIL (inliers=5, good=49)",5,49
6,IMG_4590.MOV,"match FAIL (inliers=7, good=48)",7,48
6,IMG_4592.MOV,"match FAIL (inliers=6, good=46)",6,46
6,IMG_4594.MOV,"match FAIL (inliers=7, good=47)",7,47
6,IMG_4596.MOV,"match FAIL (inliers=6, good=52)",6,52
6,IMG_4597.MOV,"match FAIL (inliers=7, good=42)",7,42
6,IMG_4600.MOV,"match FAIL (inliers=3, good=40)",3,40
6,IMG_4611.MOV,"match FAIL (inliers=6, good=39)",6,39
6,IMG_4613.MOV,"match FAIL (inliers=6, good=39)",6,39
7,IMG_5618.MOV,propagated,3000,3000
7,IMG_5620.MOV,propagated,156,244
7,IMG_5622.MOV,propagated,169,237
7,IMG_5623.MOV,propagated,154,244
7,IMG_5628.MOV,propagated,160,236
7,IMG_5632.MOV,propagated,54,129
7,IMG_5634.MOV,propagated,78,146
7,IMG_5635.MOV,propagated,76,146
7,IMG_5636.MOV,propagated,33,86
7,IMG_5638.MOV,propagated,80,175
7,IMG_5645.MOV,propagated,66,134
7,IMG_5652.MOV,"match FAIL (inliers=6, good=47)",6,47
7,IMG_5656.MOV,"match FAIL (inliers=5, good=48)",5,48
7,IMG_5658.MOV,"match FAIL (inliers=2, good=40)",2,40
7,IMG_5659.MOV,"match FAIL (inliers=6, good=49)",6,49
