game_id,video_file,status,inliers,good,good_int
7,IMG_5671.MOV,"match FAIL (inliers=5, good=55)",5,55,55
8,IMG_3717.MOV,"match FAIL (inliers=6, good=33)",6,33,33
8,IMG_3731.MOV,"match FAIL (inliers=7, good=36)",7,36,36
8,IMG_3730.MOV,"match FAIL (inliers=5, good=39)",5,39,39
8,IMG_3713.MOV,"match FAIL (inliers=6, good=43)",6,43,43
8,IMG_3716.MOV,"match FAIL (inliers=5, good=44)",5,44,44
8,IMG_3726.MOV,"match FAIL (inliers=5, good=45)",5,45,45
8,IMG_3733.MOV,"match FAIL (inliers=8, good=46)",8,46,46
8,IMG_3714.MOV,"match FAIL (inliers=6, good=49)",6,49,49
8,IMG_3734.MOV,"match FAIL (inliers=8, good=49)",8,49,49
8,IMG_3719.MOV,"match FAIL (inliers=6, good=51)",6,51,51
9,IMG_1543.MOV,"match FAIL (inliers=17, good=45)",17,45,45
9,IMG_1540.MOV,"match FAIL (inliers=15, good=55)",15,55,55
