game_id,shots,xg_sum,goals,xg_diff
1,26,12.335230187976931,12,-0.33523018797693105
10,27,12.778364794402611,16,3.221635205597389
11,12,6.175111342610753,7,0.8248886573892467
2,18,11.692743543091302,11,-0.6927435430913018
3,16,7.897653523288321,7,-0.8976535232883212
4,18,7.204341223438762,4,-3.204341223438762
5,10,4.497350749576855,4,-0.49735074957685477
6,15,6.031914893617021,3,-3.031914893617021
7,22,10.013297872340425,12,1.9867021276595747
8,23,13.765946021411116,17,3.234053978588884
9,7,2.658874458874459,2,-0.6588744588744588
