opponent_team_level,distance_bin,n,goals,pred_sum,pred_mean,obs_rate,brier,calibration_gap,abs_gap,model
CA Club,0-5,26,16,15.750632765205667,0.6057935678925257,0.6153846153846154,0.22773975892987594,0.009591047492089722,0.009591047492089722,logreg
CA Club,5-10,38,15,14.16884246466679,0.37286427538596817,0.39473684210526316,0.29635899867671606,0.021872566719294995,0.021872566719294995,logreg
College,0-5,9,4,8.04634348729694,0.8940381652552156,0.4444444444444444,0.5676048578399153,-0.4495937208107712,0.4495937208107712,logreg
College,15-20,1,0,0.54287745751564,0.54287745751564,0.0,0.2947159338786455,-0.54287745751564,0.54287745751564,logreg
College,5-10,18,4,6.995466746100465,0.38863704145002587,0.2222222222222222,0.2757252258621947,-0.16641481922780366,0.16641481922780366,logreg
IL Club,0-5,26,18,17.714826005925325,0.6813394617663586,0.6923076923076923,0.16393678612775842,0.010968230541333668,0.010968230541333668,logreg
IL Club,5-10,34,12,10.999689362297884,0.32352027536170247,0.35294117647058826,0.21575019858789082,0.02942090110888579,0.02942090110888579,logreg
IL HS,0-5,23,20,14.368857529986917,0.6247329360863877,0.8695652173913043,0.25262396333224557,0.24483228130491663,0.24483228130491663,logreg
IL HS,15-20,1,1,0.0009341486951541171,0.0009341486951541171,1.0,0.9981325752434765,0.9990658513048459,0.9990658513048459,logreg
IL HS,5-10,11,3,4.465116032107106,0.4059196392824642,0.2727272727272727,0.17418933804585987,-0.1331923665551915,0.1331923665551915,logreg
ODP Zone,0-5,2,1,0.057995299366280104,0.028997649683140052,0.5,0.44977441517369926,0.47100235031685994,0.47100235031685994,logreg
ODP Zone,5-10,5,1,0.07744334504307579,0.015488669008615157,0.2,0.18512144632579483,0.18451133099138486,0.18451133099138486,logreg
