game_id,shots,xg_sum,goals,xg_diff
1,26,12.005498988395784,12,-0.00549898839578411
10,27,15.918179100175252,16,0.0818208998247485
11,12,6.896571038000392,7,0.10342896199960805
2,18,10.940873655898335,11,0.059126344101665396
3,16,7.075755927815675,7,-0.07575592781567497
4,18,4.282349753671508,4,-0.2823497536715083
5,10,3.8909900027665096,4,0.10900999723349036
6,15,3.195593579445058,3,-0.19559357944505784
7,22,11.833366591981411,12,0.16663340801858872
8,23,16.89366216751225,17,0.10633783248774975
9,7,1.9160636487285694,2,0.08393635127143062
