possession_id,game_id,period,time_remaining,player_number,distance_m,angle_deg,defender_count,is_man_up,empty_net,shot_type,attack_type,shooter_handedness,y,xg_raw,xg
10_P0023,10,,,11,4.123,14.04,1,0,0,lob,broken play,right,0,0.4896852318841679,0.42105263157894735
10_P0024,10,,,10,5.0,0.0,0,0,0,skip,5m penalty,right,0,0.7492014695255754,0.7435897435897436
10_P0025,10,,,12,4.123,75.96,1,0,0,standard,perimeter,right,0,0.4210127236316134,0.39473684210526316
10_P0026,10,,,9,3.162,18.43,2,0,0,standard,counter,right,1,0.7173348971948016,0.7435897435897436
10_P0027,10,,,12,5.0,-53.13,1,0,0,standard,perimeter,right,1,0.3854880857709974,0.39473684210526316
11_P0001,11,1,,9,3.606,56.31,0,0,0,standard,counter,right,1,0.7182270463882642,0.7435897435897436
11_P0002,11,,,20,5.657,-45.0,1,0,0,lob,perimeter,right,1,0.36466118105495726,0.39473684210526316
11_P0003,11,,,10,8.485,45.0,1,0,0,standard,perimeter,right,0,0.2545756046553608,0.26666666666666666
11_P0004,11,,,13,7.071,45.0,1,0,0,standard,perimeter,right,0,0.2882064412179071,0.26666666666666666
11_P0005,11,,,9,2.828,-45.0,1,1,0,standard,man-up,right,1,0.6869042803697918,0.7435897435897436
11_P0006,11,,,9,3.162,18.43,3,0,0,standard,set,right,1,0.511743831263888,0.525
11_P0007,11,,,10,7.211,56.31,1,1,0,standard,man-up,right,0,0.4624267599389318,0.42105263157894735
11_P0008,11,,,20,5.385,-68.2,1,0,0,standard,perimeter,right,0,0.37636971442353134,0.39473684210526316
11_P0009,11,,,2,7.0,0.0,1,0,0,standard,perimeter,right,1,0.3121257356356859,0.26666666666666666
11_P0010,11,,,20,6.708,-26.57,1,1,0,standard,man-up,right,0,0.3265172107915735,0.26666666666666666
11_P0011,11,,,9,4.472,63.44,1,1,0,standard,man-up,right,1,0.512659874007587,0.525
11_P0012,11,4,,10,15.62,39.81,1,0,0,standard,perimeter,right,1,0.09515594214304594,0.26666666666666666
12_P0001,12,,,4,14.862,42.29,1,0,0,standard,perimeter,right,1,0.10710160284676555,0.26666666666666666
12_P0002,12,,,7,12.078,-24.45,1,0,0,skip,perimeter,right,1,0.1145741841533418,0.26666666666666666
12_P0003,12,,,6,10.005,0.0,1,0,0,standard,perimeter,right,0,0.20700917794572618,0.26666666666666666
12_P0004,12,,,8,7.214,-56.28,1,0,0,standard,perimeter,left,0,0.35823500183935447,0.39473684210526316
13_P0001,13,,,3,15.0,0.0,1,0,0,standard,perimeter,right,0,0.07772640457257601,0.26666666666666666
13_P0002,13,,,3,10.005,0.0,1,0,0,standard,perimeter,right,1,0.2500214035996563,0.26666666666666666
14_P0001,14,,,7,6.323,71.61,1,0,0,skip,perimeter,right,1,0.4465277750312544,0.42105263157894735
15_P0001,15,,,7,6.708,63.43,0,1,0,standard,man-up,right,0,0.38387391176096924,0.39473684210526316
15_P0002,15,,,10,4.47,-63.49,1,0,0,skip,perimeter,right,1,0.4832809316388513,0.42105263157894735
2_P0001,2,1,06:04,7,7.616,23.2,1,0,0,standard,counter,right,1,0.5203487228749444,0.525
2_P0002,2,1,06:33,3,5.0,0.0,1,0,0,lob,counter,right,1,0.7060264570782222,0.7435897435897436
2_P0003,2,1,05:29,3,6.083,9.46,0,0,0,skip,counter,right,0,0.7337753733238783,0.7435897435897436
2_P0004,2,1,04:33,4,3.162,18.43,1,0,0,lob,counter,right,1,0.7820710636451053,0.7435897435897436
