game_id,shots,xg_sum,goals,xg_diff
1,26,13.075984404103426,12,-1.0759844041034263
10,27,15.608600917593266,16,0.3913990824067337
11,12,4.752816530655439,7,2.247183469344561
12,4,0.9682663022709537,2,1.0317336977290463
13,2,0.45903542802003156,1,0.5409645719799685
14,1,0.45198990806060896,1,0.5480100919393911
15,2,0.8164608025548223,1,0.18353919744517766
2,18,9.41177529729324,11,1.5882247027067606
3,16,7.331648440540227,7,-0.3316484405402269
4,18,6.149975678021681,4,-2.149975678021681
5,10,4.654000279145521,4,-0.6540002791455208
6,15,8.056054339463746,4,-4.056054339463746
7,22,12.127303381356748,12,-0.12730338135674835
8,23,14.860346453621206,17,2.139653546378794
9,7,2.260018920620607,2,-0.26001892062060694
