game_id,shots,goals,xg,xg_per_shot
1,26,12,12.895141700404858,0.49596698847710996
10,27,16,14.704276064322174,0.5446028171971176
11,12,7,5.081039136302294,0.4234199280251912
12,4,2,1.194736842105263,0.2986842105263158
13,2,1,0.5333333333333333,0.26666666666666666
14,1,1,0.42105263157894735,0.42105263157894735
15,2,1,0.8157894736842105,0.40789473684210525
2,18,11,11.141430499325237,0.6189683610736243
3,16,7,7.017548186040994,0.4385967616275621
4,18,4,8.149877632205548,0.45277097956697493
5,10,4,4.636302294197031,0.4636302294197031
6,15,4,7.042442645074225,0.4694961763382816
7,22,12,12.103879892037787,0.5501763587289903
8,23,17,14.095177068528155,0.6128337855881807
9,7,2,3.0124493927125506,0.4303499132446501
