opponent_team_level,angle_bin,n,goals,pred_sum,pred_mean,obs_rate,brier,calibration_gap,abs_gap,model
CA Club,0-15,28,16,12.351199013556863,0.4411142504841737,0.5714285714285714,0.26531839453611,0.1303143209443977,0.1303143209443977,logreg
CA Club,15-30,12,6,5.776834046718894,0.48140283722657445,0.5,0.32956997701697216,0.018597162773425546,0.018597162773425546,logreg
CA Club,30-45,9,2,3.5941058902456335,0.39934509891618153,0.2222222222222222,0.29082948495458955,-0.17712287669395932,0.17712287669395932,logreg
CA Club,45-90,15,7,8.197336279351065,0.546489085290071,0.4666666666666667,0.21211036973906244,-0.07982241862340433,0.07982241862340433,logreg
College,0-15,9,2,5.106015434620676,0.5673350482911862,0.2222222222222222,0.5265165610731004,-0.345112826068964,0.345112826068964,logreg
College,15-30,9,4,6.0102021013203535,0.6678002334800393,0.4444444444444444,0.44653854914126456,-0.22335578903559483,0.22335578903559483,logreg
College,30-45,3,0,0.41864600851038547,0.13954866950346181,0.0,0.045880317112746906,-0.13954866950346181,0.13954866950346181,logreg
College,45-90,7,2,4.049824146461631,0.5785463066373759,0.2857142857142857,0.21015382524140908,-0.29283202092309024,0.29283202092309024,logreg
IL Club,0-15,16,7,8.067436777190558,0.5042147985744099,0.4375,0.22724164588431262,-0.06671479857440987,0.06671479857440987,logreg
IL Club,15-30,11,7,6.4936852489924,0.5903350226356727,0.6363636363636364,0.15953753517204558,0.04602861372796363,0.04602861372796363,logreg
IL Club,30-45,10,3,4.451735535231778,0.44517355352317783,0.3,0.16581474213515804,-0.14517355352317785,0.14517355352317785,logreg
IL Club,45-90,23,13,9.701657806808472,0.4218112089916727,0.5652173913043478,0.19777984995290973,0.1434061823126751,0.1434061823126751,logreg
IL HS,0-15,6,5,2.8219073125700223,0.470317885428337,0.8333333333333334,0.2160715695113619,0.36301544790499635,0.36301544790499635,logreg
IL HS,15-30,4,2,2.6535588220564703,0.6633897055141176,0.5,0.1370434779706211,-0.16338970551411758,0.16338970551411758,logreg
IL HS,30-45,6,6,1.3948211063995475,0.2324701843999246,1.0,0.6159549728517013,0.7675298156000754,0.7675298156000754,logreg
IL HS,45-90,19,11,11.964620469763137,0.6297168668296388,0.5789473684210527,0.16759122549098518,-0.05076949840858613,0.05076949840858613,logreg
ODP Zone,0-15,2,1,0.05297162720217373,0.026485813601086865,0.5,0.46256651524475695,0.47351418639891313,0.47351418639891313,logreg
ODP Zone,15-30,1,0,0.0018772253793802754,0.0018772253793802754,0.0,3.523975124989419e-06,-0.0018772253793802754,0.0018772253793802754,logreg
ODP Zone,45-90,4,1,0.08058979182780189,0.020147447956950473,0.25,0.22500487687793344,0.22985255204304952,0.22985255204304952,logreg
