distance_bin,n,goals,pred_sum,pred_mean,obs_rate,brier,calibration_gap,abs_gap,model
0-5,87,60,55.92417100426459,0.6428065632674091,0.6896551724137931,0.2399003414063622,0.046848609146384,0.046848609146384,(unspecified)
10+,7,4,2.307131201910731,0.329590171701533,0.5714285714285714,0.3712954841023694,0.2418383997270384,0.2418383997270384,(unspecified)
5-8,99,36,35.70729658478151,0.3606797634826415,0.36363636363636365,0.25226646812268644,0.002956600153722122,0.002956600153722122,(unspecified)
8-10,10,0,1.7029711400299041,0.1702971140029904,0.0,0.03878145629457078,-0.1702971140029904,0.1702971140029904,(unspecified)
