game_id,shots,xg_sum,goals,xg_diff
1,26,12.425429046123137,12,-0.4254290461231367
10,27,14.46043737230668,16,1.5395626276933196
11,12,6.969934701296946,7,0.030065298703053855
2,18,10.825435476890016,11,0.17456452310998394
3,16,6.76744901434686,7,0.23255098565314025
4,18,6.496907318232099,4,-2.4969073182320987
5,10,2.8295125581139624,4,1.1704874418860376
6,15,4.214098808766903,3,-1.2140988087669031
7,22,11.88925694964248,12,0.11074305035752019
8,23,15.769347391733644,17,1.2306526082663556
9,7,1.2453904463335987,2,0.7546095536664013
