angle_bin,shots,goals,xg_sum,goal_rate,xg_rate,residual
"[0, 15)",61,31,30.56840947631797,0.5081967213114754,0.5011214668248848,0.4315905236820292
"[15, 30)",37,19,19.934783560400053,0.5135135135135135,0.5387779340648663,-0.934783560400053
"[30, 45)",28,11,12.049800517626416,0.39285714285714285,0.4303500184866577,-1.0498005176264158
"[45, 90)",68,34,35.77820918495344,0.5,0.5261501350728447,-1.7782091849534396
