angle_bin,n,goals,pred_sum,pred_mean,obs_rate,brier,calibration_gap,abs_gap,model
0-15,64,32,29.587974149243234,0.4623120960819255,0.5,0.2774606977945555,0.03768790391807447,0.03768790391807447,(unspecified)
15-30,38,20,20.38032888764799,0.5363244444117893,0.5263157894736842,0.2726255712792181,-0.0100086549381051,0.0100086549381051,(unspecified)
30-45,29,12,11.090585857521681,0.3824339950869545,0.41379310344827586,0.269674923987439,0.03135910836132133,0.03135910836132133,(unspecified)
45-90,72,36,34.58268103657383,0.48031501439685875,0.5,0.17909394215366936,0.019684985603141247,0.019684985603141247,(unspecified)
