possession_id,game_id,distance_bin_model,opponent_team_level,xg_raw,xg_cal,xg
1_P0001,1,Unknown,Unknown,0.7426026183753217,0.8181818181818182,0.8181818181818182
1_P0002,1,Unknown,Unknown,0.5186204376690432,0.4285714285714285,0.42857142857142855
1_P0003,1,Unknown,Unknown,0.7235931476335112,0.631578947368421,0.631578947368421
1_P0006,1,Unknown,Unknown,0.3703201950852202,0.3684210526315789,0.3684210526315789
1_P0007,1,Unknown,Unknown,0.4379655396260031,0.4285714285714285,0.42857142857142855
1_P0008,1,Unknown,Unknown,0.2966153270946956,0.25,0.25
1_P0009,1,Unknown,Unknown,0.352567274610771,0.3684210526315789,0.3684210526315789
1_P0011,1,Unknown,Unknown,0.4183964236848696,0.375,0.375
1_P0012,1,Unknown,Unknown,0.566266117737446,0.4705882352941176,0.47058823529411764
1_P0013,1,Unknown,Unknown,0.2277128649760608,0.25,0.25
1_P0014,1,Unknown,Unknown,0.3183979250928334,0.25,0.25
1_P0015,1,Unknown,Unknown,0.4772556651028369,0.4285714285714285,0.42857142857142855
1_P0016,1,Unknown,Unknown,0.4422783219547415,0.4285714285714285,0.42857142857142855
1_P0017,1,Unknown,Unknown,0.6925895833439253,0.631578947368421,0.631578947368421
1_P0018,1,Unknown,Unknown,0.336470012877074,0.3459476841366005,0.3459476841366005
1_P0019,1,Unknown,Unknown,0.4346117169703096,0.4285714285714285,0.42857142857142855
1_P0020,1,Unknown,Unknown,0.3591343587095447,0.3684210526315789,0.3684210526315789
1_P0021,1,Unknown,Unknown,0.2222608992465065,0.25,0.25
1_P0022,1,Unknown,Unknown,0.4351224635875259,0.4285714285714285,0.42857142857142855
1_P0023,1,Unknown,Unknown,0.4278419448521042,0.375,0.375
1_P0024,1,Unknown,Unknown,0.7457629536334581,0.8181818181818182,0.8181818181818182
1_P0025,1,Unknown,Unknown,0.8159032481202361,0.8181818181818182,0.8181818181818182
1_P0026,1,Unknown,Unknown,0.761206938732224,0.8181818181818182,0.8181818181818182
1_P0027,1,Unknown,Unknown,0.5468793280204076,0.4705882352941176,0.47058823529411764
1_P0028,1,Unknown,Unknown,0.5538618911815385,0.4705882352941176,0.47058823529411764
1_P0029,1,Unknown,Unknown,0.8182659979865584,0.8181818181818182,0.8181818181818182
10_P0001,10,Unknown,Unknown,0.4628063776484814,0.4285714285714285,0.42857142857142855
10_P0002,10,Unknown,Unknown,0.5931110408041558,0.5263157894736842,0.5263157894736842
10_P0003,10,Unknown,Unknown,0.3625114021947657,0.3684210526315789,0.3684210526315789
10_P0004,10,Unknown,Unknown,0.803962534568871,0.8181818181818182,0.8181818181818182
10_P0005,10,Unknown,Unknown,0.8206911134084621,0.8181818181818182,0.8181818181818182
10_P0006,10,Unknown,Unknown,0.7025834657293721,0.631578947368421,0.631578947368421
10_P0007,10,Unknown,Unknown,0.4147452229397121,0.375,0.375
10_P0008,10,Unknown,Unknown,0.8013407836526424,0.8181818181818182,0.8181818181818182
10_P0009,10,Unknown,Unknown,0.4024108511398662,0.375,0.375
10_P0010,10,Unknown,Unknown,0.649682587555127,0.631578947368421,0.631578947368421
10_P0011,10,Unknown,Unknown,0.4074425878893841,0.375,0.375
10_P0012,10,Unknown,Unknown,0.7761611401622222,0.8181818181818182,0.8181818181818182
10_P0013,10,Unknown,Unknown,0.4538604582163935,0.4285714285714285,0.42857142857142855
10_P0014,10,Unknown,Unknown,0.319761458396933,0.25,0.25
10_P0015,10,Unknown,Unknown,0.4119398397965096,0.375,0.375
10_P0016,10,Unknown,Unknown,0.7685957271687306,0.8181818181818182,0.8181818181818182
10_P0017,10,Unknown,Unknown,0.3211737462558984,0.25,0.25
10_P0018,10,Unknown,Unknown,0.772764802442703,0.8181818181818182,0.8181818181818182
10_P0019,10,Unknown,Unknown,0.6773296524569286,0.631578947368421,0.631578947368421
10_P0020,10,Unknown,Unknown,0.4710043965080517,0.4285714285714285,0.42857142857142855
10_P0021,10,Unknown,Unknown,0.772503193791643,0.8181818181818182,0.8181818181818182
10_P0022,10,Unknown,Unknown,0.5824327087998153,0.5,0.5
10_P0023,10,Unknown,Unknown,0.5171856074294291,0.4285714285714285,0.42857142857142855
10_P0024,10,Unknown,Unknown,0.772503193791643,0.8181818181818182,0.8181818181818182
10_P0025,10,Unknown,Unknown,0.4643100430968423,0.4285714285714285,0.42857142857142855
10_P0026,10,Unknown,Unknown,0.7437769951627399,0.8181818181818182,0.8181818181818182
10_P0027,10,Unknown,Unknown,0.419705067415859,0.375,0.375
11_P0001,11,Unknown,Unknown,0.7249320065663531,0.631578947368421,0.631578947368421
11_P0002,11,Unknown,Unknown,0.3858171713250764,0.3684210526315789,0.3684210526315789
11_P0003,11,Unknown,Unknown,0.2259005640043464,0.25,0.25
11_P0004,11,Unknown,Unknown,0.2658325318596283,0.25,0.25
11_P0005,11,Unknown,Unknown,0.6543380212827645,0.631578947368421,0.631578947368421
11_P0006,11,Unknown,Unknown,0.5254744551896702,0.4336141736258443,0.4336141736258443
11_P0007,11,Unknown,Unknown,0.4201144590318734,0.375,0.375
11_P0008,11,Unknown,Unknown,0.3659143101047605,0.3684210526315789,0.3684210526315789
11_P0009,11,Unknown,Unknown,0.3205901345876368,0.25,0.25
11_P0010,11,Unknown,Unknown,0.3431265865080242,0.3684210526315789,0.3684210526315789
11_P0011,11,Unknown,Unknown,0.5121604068890999,0.4285714285714285,0.42857142857142855
11_P0012,11,Unknown,Unknown,0.0796186817257833,0.25,0.25
12_P0001,12,Unknown,Unknown,0.1048421029628445,0.25,0.25
