possession_id,game_id,video_file,video_timestamp_mmss,xg
1_P0001,1,IMG_6154.MOV,00:18,1.0
1_P0002,1,IMG_6155.MOV,00:39,0.7
1_P0003,1,IMG_6156.MOV,00:29,0.18181818181818182
1_P0006,1,IMG_6162.MOV,00:31,0.18181818181818182
1_P0007,1,IMG_6164.MOV,00:17,0.18181818181818182
1_P0008,1,IMG_6165.MOV,00:11,0.18181818181818182
1_P0009,1,IMG_6166.MOV,00:16,0.21534803549461415
1_P0011,1,IMG_6169.MOV,00:24,1.0
1_P0012,1,IMG_6171.MOV,00:17,1.0
1_P0013,1,IMG_6173.MOV,00:34,0.18181818181818182
1_P0014,1,IMG_6175.MOV,00:16,0.18181818181818182
1_P0015,1,IMG_6177.MOV,00:13,0.5789473684210527
1_P0016,1,IMG_6179.MOV,00:10,0.5789473684210527
1_P0017,1,IMG_6181.MOV,00:20,1.0
1_P0018,1,IMG_6183.MOV,00:26,0.4
1_P0019,1,IMG_6184.MOV,00:38,0.18181818181818182
1_P0020,1,IMG_6186.MOV,00:41,0.18181818181818182
1_P0021,1,IMG_6189.MOV,00:10,0.0
1_P0022,1,IMG_6190.MOV,00:15,0.6879123003940023
1_P0023,1,IMG_6194.MOV,00:09,0.18181818181818182
1_P0024,1,IMG_6196.MOV,00:06,0.5789473684210527
1_P0025,1,IMG_6197.MOV,00:27,1.0
1_P0026,1,IMG_6200.MOV,00:05,1.0
1_P0027,1,IMG_6202.MOV,00:15,0.5789473684210527
1_P0028,1,IMG_6204.MOV,00:23,0.4
1_P0029,1,IMG_6207.MOV,00:10,1.0
10_P0001,10,IMG_5045.MOV,00:16,0.5
10_P0002,10,IMG_5045.MOV,00:27,0.6
10_P0003,10,IMG_5047.MOV,00:11,0.5
10_P0004,10,IMG_5053.MOV,00:04,1.0
10_P0005,10,IMG_5056.MOV,00:21,0.6
10_P0006,10,IMG_5057.MOV,00:23,0.5
10_P0007,10,IMG_5059.MOV,00:33,0.3888888888888889
10_P0008,10,IMG_5060.MOV,00:32,1.0
10_P0009,10,IMG_5063.MOV,00:34,0.3888888888888889
10_P0010,10,IMG_5063.MOV,00:39,0.3888888888888889
10_P0011,10,IMG_5065.MOV,00:31,0.5
10_P0012,10,IMG_5066.MOV,00:01,0.62936515336082
10_P0013,10,IMG_5069.MOV,00:15,0.5
10_P0014,10,IMG_5071.MOV,00:27,0.3888888888888889
10_P0015,10,IMG_5074.MOV,00:56,0.3888888888888889
10_P0016,10,IMG_5078.MOV,00:37,0.5
10_P0017,10,IMG_5081.MOV,00:34,0.3888888888888889
10_P0018,10,IMG_5083.MOV,00:07,1.0
10_P0019,10,IMG_5086.MOV,00:04,0.5
10_P0020,10,IMG_5088.MOV,00:33,0.5
10_P0021,10,IMG_5091.MOV,00:02,0.5
10_P0022,10,IMG_5094.MOV,00:18,0.5
10_P0023,10,IMG_5100.MOV,00:11,0.3888888888888889
10_P0024,10,IMG_5103.MOV,00:01,0.5
10_P0025,10,IMG_5107.MOV,00:20,0.5
10_P0026,10,IMG_5111.MOV,00:13,1.0
10_P0027,10,IMG_5113.MOV,00:20,0.5
11_P0001,11,IMG_2070.MOV,00:05,0.782608695652174
11_P0002,11,IMG_2071.MOV,00:39,0.6
11_P0003,11,IMG_2073.MOV,00:20,0.3333333333333333
11_P0004,11,IMG_2077.MOV,00:39,0.4
11_P0005,11,IMG_2078.MOV,00:42,0.782608695652174
11_P0006,11,IMG_2081.MOV,00:28,0.782608695652174
11_P0007,11,IMG_2084.MOV,00:39,0.515625
11_P0008,11,IMG_2088.MOV,00:17,0.515625
11_P0009,11,IMG_2093.MOV,00:17,0.515625
11_P0010,11,IMG_2096.MOV,01:08,0.515625
11_P0011,11,IMG_2098.MOV,00:39,0.6842105263157895
11_P0012,11,IMG_2102.MOV,00:09,0.2
2_P0001,2,IMG_6117.MOV,00:07,0.5789473684210527
2_P0002,2,IMG_6115.MOV,00:06,0.7
2_P0003,2,IMG_6119.MOV,00:08,0.5789473684210527
