distance_bin,shots,goals,xg_sum,goal_rate,xg_rate,residual
"[0, 5)",86,59,52.85129058590595,0.686046511627907,0.6145498905337902,6.14870941409405
"[5, 10)",106,35,44.75015024863002,0.330188679245283,0.4221712287606606,-9.750150248630021
"[15, 20)",2,1,0.7297619047619047,0.5,0.36488095238095236,0.2702380952380953
