game_id,shots,xg_sum,goals,xg_diff
1,26,13.355413445936463,12,-1.3554134459364633
10,27,15.051587375583042,16,0.9484126244169584
11,12,6.627869946605645,7,0.372130053394355
2,18,11.204326564873513,11,-0.2043265648735133
3,16,7.184764465414915,7,-0.18476446541491498
4,18,7.542582559339525,4,-3.5425825593395253
5,10,3.762939578005115,4,0.23706042199488486
6,15,5.538079875912007,3,-2.5380798759120067
7,22,10.444444444444445,12,1.5555555555555554
8,23,13.884174087775103,17,3.1158259122248975
9,7,2.231311274509804,2,-0.23131127450980404
