game_id,possession_id,video_file,context,t_s,frame_path
1,1_P0013,IMG_6173.MOV,tp,36.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0013-q2-n7-lob_tp.jpg
1,1_P0014,IMG_6175.MOV,tm,14.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0014-q2-n7-standard_tm.jpg
1,1_P0014,IMG_6175.MOV,t0,16.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0014-q2-n7-standard_t0.jpg
1,1_P0014,IMG_6175.MOV,tp,18.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0014-q2-n7-standard_tp.jpg
1,1_P0015,IMG_6177.MOV,tm,11.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0015-q2-n3-standard_tm.jpg
1,1_P0015,IMG_6177.MOV,t0,13.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0015-q2-n3-standard_t0.jpg
1,1_P0015,IMG_6177.MOV,tp,15.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0015-q2-n3-standard_tp.jpg
1,1_P0016,IMG_6179.MOV,tm,8.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0016-q2-n4-standard_tm.jpg
1,1_P0016,IMG_6179.MOV,t0,10.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0016-q2-n4-standard_t0.jpg
1,1_P0016,IMG_6179.MOV,tp,12.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0016-q2-n4-standard_tp.jpg
1,1_P0017,IMG_6181.MOV,tm,18.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0017-q2-n3-standard_tm.jpg
1,1_P0017,IMG_6181.MOV,t0,20.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0017-q2-n3-standard_t0.jpg
1,1_P0017,IMG_6181.MOV,tp,22.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0017-q2-n3-standard_tp.jpg
1,1_P0018,IMG_6183.MOV,tm,24.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0018-q2-n12-skip_tm.jpg
1,1_P0018,IMG_6183.MOV,t0,26.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0018-q2-n12-skip_t0.jpg
1,1_P0018,IMG_6183.MOV,tp,28.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0018-q2-n12-skip_tp.jpg
1,1_P0019,IMG_6184.MOV,tm,36.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0019-q2-n14-skip_tm.jpg
