possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss
2_P0004,2,west_sub,nwc,IL Club,IL Club,1,04:33,6v6,shot,,,,0.55,0.2,1,true,1.5,center,1,counter,lob,goal,right,4,IMG_6123.MOV,00:05
2_P0005,2,west_sub,nwc,IL Club,IL Club,1,03:29,6v6,shot,,,,0.5,0.4,0,true,0.5,center,11,perimeter,standard,blocked (GK),right,4,IMG_6125.MOV,00:43
2_P0006,2,west_sub,nwc,IL Club,IL Club,1,02:50,6v6,shot,,,,0.6,0.2,0,true,2,right,0,counter,lob,goal,right,7,IMG_6127.MOV,00:06
2_P0007,2,west_sub,nwc,IL Club,IL Club,2,06:43,6v6,shot,,,,0.65,0.2666666667,1,true,0.5,right,5,set,skip,blocked (GK),right,6,IMG_6128.MOV,00:22
2_P0008,2,west_sub,nwc,IL Club,IL Club,2,06:36,6v6,turnover,ball under,4,,,,,,,,2,,,,,,IMG_6128.MOV,0:11
2_P0009,2,west_sub,nwc,IL Club,IL Club,2,05:54,6v6,shot,,,,0.75,0.2,1,true,2,right,1,counter,lob,goal,right,6,IMG_6130.MOV,00:35
2_P0010,2,west_sub,nwc,IL Club,IL Club,2,05:12,6v6,shot,,,,0.5,0.3333333333,0,true,2,center,1,counter,lob,goal,right,3,IMG_6132.MOV,00:05
2_P0011,2,west_sub,nwc,IL Club,IL Club,2,04:33,6v6,turnover,steal/interception,6,,,,,,,,1,,,,,,IMG_6134.MOV,00:06
2_P0012,2,west_sub,nwc,IL Club,IL Club,2,03:45,6v6,shot,,,,0.55,0.1333333333,1,true,1.5,right,1,counter,standard,goal,right,7,IMG_6136.MOV,00:11
2_P0013,2,west_sub,nwc,IL Club,IL Club,3,06:35,6v6,shot,,,,0.6,0.2,2,true,0.5,right,4,set,standard,missed,right,7,IMG_6137.MOV,00:31
2_P0014,2,west_sub,nwc,IL Club,IL Club,3,05:46,6v6,shot,,,,0.45,0.4666666667,1,true,1,left,3,perimeter,standard,post/bar,right,5,IMG_6139.MOV,00:21
2_P0015,2,west_sub,nwc,IL Club,IL Club,3,05:31,6v6,turnover,ball under,5,,,,,,,,2,,,,,,IMG_6139.MOV,00:37
2_P0016,2,west_sub,nwc,IL Club,IL Club,3,04:53,6v6,turnover,offensive foul (contra),4,,,,,,,,2,,,,,,IMG_6140.MOV,00:12
2_P0017,2,west_sub,nwc,IL Club,IL Club,3,04:26,6v6,shot,,,,0.6,0.1333333333,1,true,1,center,1,counter,standard,goal,right,4,IMG_6141.MOV,00:20
2_P0018,2,west_sub,nwc,IL Club,IL Club,3,03:53,6v6,shot,,,,0.6,0.1333333333,1,true,1,right,4,perimeter,standard,goal,right,7,IMG_6142.MOV,00:31
2_P0019,2,west_sub,nwc,IL Club,IL Club,4,06:49,6v6,shot,,,,0.4,0.2,2,true,2,left,3,broken play,lob,post/bar,right,12,IMG_6143.MOV,00:14
2_P0020,2,west_sub,nwc,IL Club,IL Club,4,06:12,6v6,shot,,,,0.5,0.2,1,true,1.5,center,3,counter,standard,blocked (GK),right,3,IMG_6144.MOV,00:32
2_P0021,2,west_sub,nwc,IL Club,IL Club,4,06:06,6v6,turnover,bad pass / out of bounds,4,,,,,,,,1,,,,,,IMG_6145.MOV,00:09
2_P0022,2,west_sub,nwc,IL Club,IL Club,4,05:23,6v6,shot,,,,0.5,0.06666666667,0,true,0.5,center,1,counter,standard,goal,right,5,IMG_6146.MOV,00:35
2_P0023,2,west_sub,nwc,IL Club,IL Club,4,04:46,6v6,turnover,steal/interception,7,,,,,,,,1,,,,,,IMG_6149.MOV,00:11
2_P0024,2,west_sub,nwc,IL Club,IL Club,4,04:13,6v6,shot,,,,0.65,0.06666666667,0,true,1,center,1,counter,standard,goal,right,4,IMG_6150.MOV,00:24
3_P0001,3,west_sub,new_trier,IL Club,IL Club,1,06:46,6v6,shot,,,,0.55,0.4666666667,1,true,0.5,center,4,perimeter,standard,blocked (GK),right,4,IMG_0157.MOV,00:27
3_P0002,3,west_sub,new_trier,IL Club,IL Club,1,06:10,6v6,shot,,,,0.35,0.3333333333,1,true,0.5,left,0,counter,standard,goal,right,6,IMG_0159.MOV,00:02
3_P0003,3,west_sub,new_trier,IL Club,IL Club,1,05:35,6v6,turnover,steal/interception,10,,,,,,,,1,,,,,,IMG_0163.MOV,00:03
3_P0004,3,west_sub,new_trier,IL Club,IL Club,1,04:47,6v6,shot,,,,0.5,0.4,1,true,0.5,center,4,perimeter,standard,goal,right,4,IMG_0165.MOV,00:21
3_P0005,3,west_sub,new_trier,IL Club,IL Club,1,04:04,6v6,shot,,,,0.35,0.2,2,true,0.5,left,4,set,standard,goal,left,2,IMG_0168.MOV,00:17
3_P0006,3,west_sub,new_trier,IL Club,IL Club,2,06:13,6v6,shot,,,,0.55,0.2666666667,1,true,1,center,3,broken play,tip/deflection,missed,right,5,IMG_0172.MOV,00:15
3_P0007,3,west_sub,new_trier,IL Club,IL Club,2,05:11,6v6,shot,,,,0.35,0.4,2,true,0.5,left,1,perimeter,standard,field block,right,6,IMG_0176.MOV,00:08
3_P0008,3,west_sub,new_trier,IL Club,IL Club,2,05:09,6v6,shot,,,,0.5,0.3333333333,0,true,0,center,0,5m penalty,standard,goal,right,6,IMG_0177.MOV,00:04
3_P0009,3,west_sub,new_trier,IL Club,IL Club,2,03:21,6v6,shot,,,,0.3,0.2,1,true,0.5,left,10,perimeter,skip,goal,left,2,IMG_0179.MOV,00:32
3_P0010,3,west_sub,new_trier,IL Club,IL Club,3,06:36,6v6,shot,,,,0.75,0.1333333333,1,true,0.5,center,6,perimeter,standard,blocked (GK),right,7,IMG_0181.MOV,00:31
3_P0011,3,west_sub,new_trier,IL Club,IL Club,3,05:48,6v6,shot,,,,0.75,0.2,1,true,0.5,right,5,perimeter,standard,blocked (GK),right,10,IMG_0183.MOV,00:30
3_P0012,3,west_sub,new_trier,IL Club,IL Club,3,04:45,6v6,ejection_drawn,,,7,,,,,,,5,set,,,,,IMG_0185.MOV,00:23
3_P0013,3,west_sub,new_trier,IL Club,IL Club,3,04:25,6v5,ejection_drawn,,,4,,,,,,,6,man-up,,,,,IMG_0185.MOV,00:43
3_P0014,3,west_sub,new_trier,IL Club,IL Club,3,04:24,6v4,shot,,,,0.6,0.2,1,true,1,right,2,man-up,standard,goal,right,4,IMG_0185.MOV,00:48
3_P0015,3,west_sub,new_trier,IL Club,IL Club,3,03:17,6v6,shot,,,,0.2,0.4,0,true,0.5,right,2,perimeter,standard,missed,right,7,IMG_0187.MOV,00:11
3_P0016,3,west_sub,new_trier,IL Club,IL Club,3,02:37,6v6,shot,,,,0.75,0.1333333333,0,true,0.5,right,3,perimeter,skip,goal,right,7,IMG_0189.MOV,00:20
3_P0017,3,west_sub,new_trier,IL Club,IL Club,4,06:09,6v6,shot,,,,0.65,0.06666666667,1,true,0.5,center,3,broken play,tip/deflection,field block,right,4,IMG_0196.MOV,00:18
3_P0018,3,west_sub,new_trier,IL Club,IL Club,4,04:44,6v6,shot,,,,0.5,0.1333333333,1,true,0.5,left,3,set,tip/deflection,blocked (GK),left,2,IMG_0200.MOV,00:19
3_P0019,3,west_sub,new_trier,IL Club,IL Club,4,04:04,6v6,turnover,steal/interception,6,,,,,,,,1,,,,,,IMG_0202.MOV,00:11
3_P0020,3,west_sub,new_trier,IL Club,IL Club,4,03:23,6v6,shot,,,,0.5,0.4666666667,1,true,1.5,center,1,perimeter,standard,blocked (GK),right,4,IMG_0204.MOV,00:10
3_P0021,3,west_sub,new_trier,IL Club,IL Club,4,03:00,6v6,turnover,procedural violation (2m/6m/restart),5,,,,,,,,8,,,,,,IMG_0205.MOV,00:26
3_P0022,3,west_sub,new_trier,IL Club,IL Club,4,02:13,6v6,turnover,shot clock violation,,,,,,,,,6,,,,,,IMG_0207.MOV,00:28
3_P0023,3,west_sub,new_trier,IL Club,IL Club,4,01:08,6v6,turnover,shot clock violation,,,,,,,,,0,,,,,,IMG_0209.MOV,00:16
4_P0001,4,usa_academy,brown,ODP Academy,College,1,,6v6,shot,,,,0.5,0.4,1,true,0.5,center,3,perimeter,skip,blocked (GK),right,2,IMG_2598.MOV,00:21
4_P0002,4,usa_academy,brown,ODP Academy,College,1,,6v6,shot,,,,0.55,0.2,2,true,0.5,right,4,set,skip,goal,right,10,IMG_2600.MOV,00:16
4_P0003,4,usa_academy,brown,ODP Academy,College,1,,6v6,turnover,steal/interception,10,,,,,,,,8,,,,,,IMG_2602.MOV,00:25
4_P0004,4,usa_academy,brown,ODP Academy,College,1,,6v5,shot,,,,0.4,0.4,1,true,0.5,left,3,man-up,skip,field block,right,2,IMG_2604.MOV,00:34
