possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss
1_P0028,1,west_sub,evanston,IL Club,IL Club,4.0,05:24,,shot,,,,0.3,0.1333333333333333,1.0,,0.5,left,2,perimeter,skip,missed,,6.0,IMG_6204.MOV,00:23
1_P0029,1,west_sub,evanston,IL Club,IL Club,4.0,04:28,,shot,,,,0.55,0.1333333333333333,0.0,,1.0,center,1,counter,standard,goal,,4.0,IMG_6207.MOV,00:10
2_P0001,2,west_sub,nwc,IL Club,IL Club,1.0,06:04,,shot,,,,0.65,0.4666666666666667,1.0,,1.0,right,0,counter,standard,goal,,7.0,IMG_6117.MOV,00:07
2_P0002,2,west_sub,nwc,IL Club,IL Club,1.0,06:33,,shot,,,,0.5,0.3333333333333333,1.0,,2.0,center,1,counter,lob,goal,,3.0,IMG_6115.MOV,00:06
2_P0003,2,west_sub,nwc,IL Club,IL Club,1.0,05:29,,shot,,,,0.55,0.4,0.0,,1.0,center,1,counter,skip,missed,,3.0,IMG_6119.MOV,00:08
2_P0004,2,west_sub,nwc,IL Club,IL Club,1.0,04:33,,shot,,,,0.55,0.2,1.0,,1.5,center,1,counter,lob,goal,,4.0,IMG_6123.MOV,00:05
2_P0005,2,west_sub,nwc,IL Club,IL Club,1.0,03:29,,shot,,,,0.5,0.4,0.0,,0.5,center,11,perimeter,standard,blocked (GK),,4.0,IMG_6125.MOV,00:43
2_P0006,2,west_sub,nwc,IL Club,IL Club,1.0,02:50,,shot,,,,0.6,0.2,0.0,,2.0,right,0,counter,lob,goal,,7.0,IMG_6127.MOV,00:06
2_P0007,2,west_sub,nwc,IL Club,IL Club,2.0,06:43,,shot,,,,0.65,0.2666666666666666,1.0,,0.5,right,5,set,skip,blocked (GK),,6.0,IMG_6128.MOV,00:22
2_P0008,2,west_sub,nwc,IL Club,IL Club,2.0,06:36,,turnover,ball under,4.0,,,,,,,,2,,,,,,IMG_6128.MOV,00:11
2_P0009,2,west_sub,nwc,IL Club,IL Club,2.0,05:54,,shot,,,,0.75,0.2,1.0,,2.0,right,1,counter,lob,goal,,6.0,IMG_6130.MOV,00:35
2_P0010,2,west_sub,nwc,IL Club,IL Club,2.0,05:12,,shot,,,,0.5,0.3333333333333333,0.0,,2.0,center,1,counter,lob,goal,,3.0,IMG_6132.MOV,00:05
2_P0011,2,west_sub,nwc,IL Club,IL Club,2.0,04:33,,turnover,steal/interception,6.0,,,,,,,,1,,,,,,IMG_6134.MOV,00:06
2_P0012,2,west_sub,nwc,IL Club,IL Club,2.0,03:45,,shot,,,,0.55,0.1333333333333333,1.0,,1.5,right,1,counter,standard,goal,,7.0,IMG_6136.MOV,00:11
2_P0013,2,west_sub,nwc,IL Club,IL Club,3.0,06:35,,shot,,,,0.6,0.2,2.0,,0.5,right,4,set,standard,missed,,7.0,IMG_6137.MOV,00:31
2_P0014,2,west_sub,nwc,IL Club,IL Club,3.0,05:46,,shot,,,,0.45,0.4666666666666667,1.0,,1.0,left,3,perimeter,standard,post/bar,,5.0,IMG_6139.MOV,00:21
2_P0015,2,west_sub,nwc,IL Club,IL Club,3.0,05:31,,turnover,ball under,5.0,,,,,,,,2,,,,,,IMG_6139.MOV,00:37
2_P0016,2,west_sub,nwc,IL Club,IL Club,3.0,04:53,,turnover,offensive foul (contra),4.0,,,,,,,,2,,,,,,IMG_6140.MOV,00:12
2_P0017,2,west_sub,nwc,IL Club,IL Club,3.0,04:26,,shot,,,,0.6,0.1333333333333333,1.0,,1.0,center,1,counter,standard,goal,,4.0,IMG_6141.MOV,00:20
2_P0018,2,west_sub,nwc,IL Club,IL Club,3.0,03:53,,shot,,,,0.6,0.1333333333333333,1.0,,1.0,right,4,perimeter,standard,goal,,7.0,IMG_6142.MOV,00:31
2_P0019,2,west_sub,nwc,IL Club,IL Club,4.0,06:49,,shot,,,,0.4,0.2,2.0,,2.0,left,3,broken play,lob,post/bar,,12.0,IMG_6143.MOV,00:14
2_P0020,2,west_sub,nwc,IL Club,IL Club,4.0,06:12,,shot,,,,0.5,0.2,1.0,,1.5,center,3,counter,standard,blocked (GK),,3.0,IMG_6144.MOV,00:32
2_P0021,2,west_sub,nwc,IL Club,IL Club,4.0,06:06,,turnover,bad pass / out of bounds,4.0,,,,,,,,1,,,,,,IMG_6145.MOV,00:09
2_P0022,2,west_sub,nwc,IL Club,IL Club,4.0,05:23,,shot,,,,0.5,0.0666666666666666,0.0,,0.5,center,1,counter,standard,goal,,5.0,IMG_6145.MOV,00:36
2_P0023,2,west_sub,nwc,IL Club,IL Club,4.0,04:46,,turnover,steal/interception,7.0,,,,,,,,1,,,,,,IMG_6149.MOV,00:11
2_P0024,2,west_sub,nwc,IL Club,IL Club,4.0,04:13,,shot,,,,0.65,0.0666666666666666,0.0,,1.0,center,1,counter,standard,goal,,4.0,IMG_6150.MOV,00:24
3_P0001,3,west_sub,new_trier,IL Club,IL Club,1.0,06:46,,shot,,,,0.55,0.4666666666666667,1.0,,0.5,center,4,perimeter,standard,blocked (GK),,4.0,IMG_0157.MOV,00:27
3_P0002,3,west_sub,new_trier,IL Club,IL Club,1.0,06:10,,shot,,,,0.35,0.3333333333333333,1.0,,0.5,left,0,counter,standard,goal,,6.0,IMG_0159.MOV,00:02
3_P0003,3,west_sub,new_trier,IL Club,IL Club,1.0,05:35,,turnover,steal/interception,10.0,,,,,,,,1,,,,,,IMG_0163.MOV,00:03
3_P0004,3,west_sub,new_trier,IL Club,IL Club,1.0,04:47,,shot,,,,0.5,0.4,1.0,,0.5,center,4,perimeter,standard,goal,,4.0,IMG_0165.MOV,00:21
3_P0005,3,west_sub,new_trier,IL Club,IL Club,1.0,04:04,,shot,,,,0.35,0.2,2.0,,0.5,left,4,set,standard,goal,,2.0,IMG_0168.MOV,00:17
3_P0006,3,west_sub,new_trier,IL Club,IL Club,2.0,06:13,,shot,,,,0.55,0.2666666666666666,1.0,,1.0,center,3,broken play,tip/deflection,missed,,5.0,IMG_0172.MOV,00:15
3_P0007,3,west_sub,new_trier,IL Club,IL Club,2.0,05:11,,shot,,,,0.35,0.4,2.0,,0.5,left,1,perimeter,standard,field block,,6.0,IMG_0176.MOV,00:08
3_P0008,3,west_sub,new_trier,IL Club,IL Club,2.0,05:09,,shot,,,,0.5,0.3333333333333333,0.0,,0.0,center,0,5m penalty,standard,goal,,6.0,IMG_0177.MOV,00:04
3_P0009,3,west_sub,new_trier,IL Club,IL Club,2.0,03:21,,shot,,,,0.3,0.2,1.0,,0.5,left,10,perimeter,skip,goal,,2.0,IMG_0179.MOV,00:32
3_P0010,3,west_sub,new_trier,IL Club,IL Club,3.0,06:36,,shot,,,,0.75,0.1333333333333333,1.0,,0.5,center,6,perimeter,standard,blocked (GK),,7.0,IMG_0181.MOV,00:31
3_P0011,3,west_sub,new_trier,IL Club,IL Club,3.0,05:48,,shot,,,,0.75,0.2,1.0,,0.5,right,5,perimeter,standard,blocked (GK),,10.0,IMG_0183.MOV,00:30
3_P0012,3,west_sub,new_trier,IL Club,IL Club,3.0,04:24,,shot,,,,0.6,0.2,1.0,,1.0,right,2,man-up (6v5),standard,goal,,4.0,IMG_0185.MOV,00:48
3_P0013,3,west_sub,new_trier,IL Club,IL Club,3.0,03:17,,shot,,,,0.2,0.4,0.0,,0.5,right,2,perimeter,standard,missed,,7.0,IMG_0187.MOV,00:11
3_P0014,3,west_sub,new_trier,IL Club,IL Club,3.0,02:37,,shot,,,,0.75,0.1333333333333333,0.0,,0.5,right,3,perimeter,skip,goal,,7.0,IMG_0189.MOV,00:20
3_P0015,3,west_sub,new_trier,IL Club,IL Club,4.0,06:09,,shot,,,,0.65,0.0666666666666666,1.0,,0.5,center,3,broken play,tip/deflection,field block,,4.0,IMG_0196.MOV,00:18
3_P0016,3,west_sub,new_trier,IL Club,IL Club,4.0,04:44,,shot,,,,0.5,0.1333333333333333,1.0,,0.5,left,3,set,tip/deflection,blocked (GK),,2.0,IMG_0200.MOV,00:19
3_P0017,3,west_sub,new_trier,IL Club,IL Club,4.0,04:04,,turnover,steal/interception,6.0,,,,,,,,1,,,,,,IMG_0202.MOV,00:11
3_P0018,3,west_sub,new_trier,IL Club,IL Club,4.0,03:23,,shot,,,,0.5,0.4666666666666667,1.0,,1.5,center,1,perimeter,standard,blocked (GK),,4.0,IMG_0204.MOV,00:10
3_P0019,3,west_sub,new_trier,IL Club,IL Club,4.0,03:00,,turnover,procedural violation (2m/6m/restart),5.0,,,,,,,,8,,,,,,IMG_0205.MOV,00:26
3_P0020,3,west_sub,new_trier,IL Club,IL Club,4.0,02:13,,turnover,shot clock violation,8.0,,,,,,,,6,,,,,,IMG_0207.MOV,00:28
3_P0021,3,west_sub,new_trier,IL Club,IL Club,4.0,01:08,,turnover,shot clock violation,8.0,,,,,,,,0,,,,,,IMG_0209.MOV,00:16
4_P0001,4,usa_academy,brown,ODP Academy,College,1.0,,,shot,,,,0.5,0.4,1.0,,0.5,center,3,perimeter,skip,blocked (GK),,2.0,IMG_2598.MOV,00:24
4_P0002,4,usa_academy,brown,ODP Academy,College,1.0,,,shot,,,,0.55,0.2,2.0,,0.5,right,4,set,skip,goal,,10.0,IMG_2600.MOV,00:16
4_P0003,4,usa_academy,brown,ODP Academy,College,1.0,,,turnover,steal/interception,10.0,,,,,,,,8,,,,,,IMG_2602.MOV,00:25
