possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss,x,y,outcome,handed,distance_m,angle_deg,angle_deg_signed,video_timecode,source_video_id
1_P0020,1,west_sub,evanston,IL Club,IL Club,2,01:38,6v6,shot,,,,0.25,0.2,1,true,0.5,left,2,perimeter,standard,blocked (GK),right,12,IMG_6186.MOV,00:41,0.25,0.2,blocked (GK),right,5.831,-59.04,-59.04,41.0,IMG_6186.MOV
1_P0021,1,west_sub,evanston,IL Club,IL Club,3,06:21,6v6,shot,,,,0.8,0.4,1,true,1,right,3,perimeter,standard,field block,right,4,IMG_6189.MOV,00:10,0.8,0.4,field block,right,8.485,45.0,45.0,10.0,IMG_6189.MOV
1_P0022,1,west_sub,evanston,IL Club,IL Club,3,05:35,6v6,shot,,,,0.7,0.2666666667,2,true,1,right,1,perimeter,lob,goal,right,4,IMG_6190.MOV,00:15,0.7,0.2666666667,goal,right,5.657,45.0,45.0,15.0,IMG_6190.MOV
1_P0023,1,west_sub,evanston,IL Club,IL Club,3,04:21,6v6,shot,,,,0.55,0.4,1,true,1.5,center,2,perimeter,standard,blocked (GK),right,7,IMG_6194.MOV,00:09,0.55,0.4,blocked (GK),right,6.083,9.46,9.46,9.0,IMG_6194.MOV
1_P0024,1,west_sub,evanston,IL Club,IL Club,3,03:44,6v6,shot,,,,0.35,0.2666666667,1,true,1,left,0,counter,skip,post/bar,right,12,IMG_6196.MOV,00:06,0.35,0.2666666667,post/bar,right,5.0,-36.87,-36.87,6.0,IMG_6196.MOV
1_P0025,1,west_sub,evanston,IL Club,IL Club,3,03:08,6v6,shot,,,,0.4,0.1333333333,1,true,1.5,left,1,counter,skip,goal,right,3,IMG_6197.MOV,00:27,0.4,0.1333333333,goal,right,2.828,-45.0,-45.0,27.0,IMG_6197.MOV
1_P0026,1,west_sub,evanston,IL Club,IL Club,4,06:31,6v6,shot,,,,0.55,0.2,1,true,1.5,right,1,counter,lob,goal,right,3,IMG_6200.MOV,00:05,0.55,0.2,goal,right,3.162,18.43,18.43,5.0,IMG_6200.MOV
1_P0027,1,west_sub,evanston,IL Club,IL Club,4,05:53,6v6,shot,,,,0.45,0.1333333333,2,true,1,left,5,set,standard,goal,right,3,IMG_6202.MOV,00:15,0.45,0.1333333333,goal,right,2.236,-26.57,-26.57,15.0,IMG_6202.MOV
1_P0028,1,west_sub,evanston,IL Club,IL Club,4,05:24,6v6,shot,,,,0.3,0.1333333333,1,true,0.5,left,2,perimeter,skip,missed,right,6,IMG_6204.MOV,00:23,0.3,0.1333333333,missed,right,4.472,-63.43,-63.43,23.0,IMG_6204.MOV
1_P0029,1,west_sub,evanston,IL Club,IL Club,4,04:28,6v6,shot,,,,0.55,0.1333333333,0,true,1,center,1,counter,standard,goal,right,4,IMG_6207.MOV,00:10,0.55,0.1333333333,goal,right,2.236,26.57,26.57,10.0,IMG_6207.MOV
2_P0001,2,west_sub,nwc,IL Club,IL Club,1,06:04,6v6,shot,,,,0.65,0.4666666667,1,true,1,right,0,counter,standard,goal,right,7,IMG_6117.MOV,00:07,0.65,0.4666666667,goal,right,7.616,23.2,23.2,7.0,IMG_6117.MOV
2_P0002,2,west_sub,nwc,IL Club,IL Club,1,06:33,6v6,shot,,,,0.5,0.3333333333,1,true,2,center,1,counter,lob,goal,right,3,IMG_6115.MOV,00:06,0.5,0.3333333333,goal,right,5.0,0.0,0.0,6.0,IMG_6115.MOV
2_P0003,2,west_sub,nwc,IL Club,IL Club,1,05:29,6v6,shot,,,,0.55,0.4,0,true,1,center,1,counter,skip,missed,right,3,IMG_6119.MOV,00:08,0.55,0.4,missed,right,6.083,9.46,9.46,8.0,IMG_6119.MOV
2_P0004,2,west_sub,nwc,IL Club,IL Club,1,04:33,6v6,shot,,,,0.55,0.2,1,true,1.5,center,1,counter,lob,goal,right,4,IMG_6123.MOV,00:05,0.55,0.2,goal,right,3.162,18.43,18.43,5.0,IMG_6123.MOV
2_P0005,2,west_sub,nwc,IL Club,IL Club,1,03:29,6v6,shot,,,,0.5,0.4,0,true,0.5,center,11,perimeter,standard,blocked (GK),right,4,IMG_6125.MOV,00:43,0.5,0.4,blocked (GK),right,6.0,0.0,0.0,43.0,IMG_6125.MOV
2_P0006,2,west_sub,nwc,IL Club,IL Club,1,02:50,6v6,shot,,,,0.6,0.2,0,true,2,right,0,counter,lob,goal,right,7,IMG_6127.MOV,00:06,0.6,0.2,goal,right,3.606,33.69,33.69,6.0,IMG_6127.MOV
2_P0007,2,west_sub,nwc,IL Club,IL Club,2,06:43,6v6,shot,,,,0.65,0.2666666667,1,true,0.5,right,5,set,skip,blocked (GK),,6,IMG_6128.MOV,00:22,0.65,0.2666666667,blocked (GK),,5.0,36.87,36.87,22.0,IMG_6128.MOV
