possession_id,game_id,our_team_name,opponent_team_name,period,time_remaining,seconds_remaining,clock_bin,our_team_level,opponent_team_level,man_state,attack_type,event_type,possession_outcome_simple,possession_outcome_detail,is_shot,is_turnover,is_ejection_drawn,is_5m_drawn,is_man_up,empty_net,is_heave,is_long_range,defender_count,defender_count_bin,goalie_distance_m,goalie_lateral,shooter_x,shooter_y,distance_m,angle_deg,abs_angle,angle_x_distance,distance_bin,angle_bin,dist_x_manup,dist_x_defbin,poss_idx_in_game,prior_poss_before,prior_shots_before,prior_goals_before,prior_shot_rate_in_game,prior_goal_rate_in_game,last3_shots_before,last3_goals_before,last3_goal_rate_in_game,shot_type,shot_result,shooter_handedness,player_number,possession_passes,video_file,video_timestamp_mmss,sample_weight
1_P0014,1,west_sub,evanston,2,05:54,354.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,shot_no_goal,missed,True,False,False,False,False,False,False,False,1.0,def1,0.5,right,0.8,0.2,6.708,63.43,63.43,425.48844,5-8,45-90,5-8|MU0,5-8|def1,14,13,10.0,5.0,0.6875,0.46153846153846156,3.0,2.0,0.5,standard,missed,right,7.0,2.0,IMG_6175.MOV,00:16,1.0
1_P0015,1,west_sub,evanston,2,05:28,328.0,gt8s,IL Club,IL Club,6v6,set,shot,shot_no_goal,missed,True,False,False,False,False,False,False,False,3.0,def2p,1.0,left,0.4,0.2666666667,4.472,-26.57,26.57,118.82104000000001,0-5,15-30,0-5|MU0,0-5|def2p,15,14,11.0,5.0,0.7058823529411765,0.42857142857142855,3.0,1.0,0.3333333333333333,standard,missed,right,3.0,3.0,IMG_6177.MOV,00:13,1.0
1_P0016,1,west_sub,evanston,2,04:48,288.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,shot_no_goal,blocked (GK),True,False,False,False,False,False,False,False,1.0,def1,1.0,center,0.6,0.3333333333,5.385,21.8,21.8,117.393,5-8,15-30,5-8|MU0,5-8|def1,16,15,12.0,5.0,0.7222222222222222,0.4,3.0,0.0,0.16666666666666666,standard,blocked (GK),right,4.0,3.0,IMG_6179.MOV,00:10,1.0
1_P0017,1,west_sub,evanston,2,03:59,239.0,gt8s,IL Club,IL Club,6v6,set,shot,goal,goal,True,False,False,False,False,False,False,False,2.0,def2p,1.0,center,0.5,0.1333333333,2.0,0.0,0.0,0.0,0-5,0-15,0-5|MU0,0-5|def2p,17,16,13.0,5.0,0.7368421052631579,0.375,3.0,0.0,0.16666666666666666,standard,goal,right,3.0,4.0,IMG_6181.MOV,00:20,1.0
1_P0018,1,west_sub,evanston,2,03:06,186.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,goal,goal,True,False,False,False,False,False,False,False,1.0,def1,1.0,left,0.2,0.2666666667,7.211,-56.31,56.31,406.05141000000003,5-8,45-90,5-8|MU0,5-8|def1,18,17,14.0,6.0,0.75,0.4117647058823529,3.0,1.0,0.3333333333333333,skip,goal,right,12.0,4.0,IMG_6183.MOV,00:26,1.0
1_P0019,1,west_sub,evanston,2,02:28,148.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,shot_no_goal,post/bar,True,False,False,False,False,False,False,False,2.0,def2p,1.0,left,0.35,0.3333333333,5.831,-30.96,30.96,180.52776000000003,5-8,30-45,5-8|MU0,5-8|def2p,19,18,15.0,7.0,0.7619047619047619,0.4444444444444444,3.0,2.0,0.5,skip,post/bar,right,14.0,3.0,IMG_6184.MOV,00:38,1.0
1_P0020,1,west_sub,evanston,2,01:38,98.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,shot_no_goal,blocked (GK),True,False,False,False,False,False,False,False,1.0,def1,0.5,left,0.25,0.2,5.831,-59.04,59.04,344.26224,5-8,45-90,5-8|MU0,5-8|def1,20,19,16.0,7.0,0.7727272727272727,0.42105263157894735,3.0,2.0,0.5,standard,blocked (GK),right,12.0,2.0,IMG_6186.MOV,00:41,1.0
1_P0021,1,west_sub,evanston,3,06:21,381.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,shot_no_goal,field block,True,False,False,False,False,False,False,False,1.0,def1,1.0,right,0.8,0.4,8.485,45.0,45.0,381.825,8-10,45-90,8-10|MU0,8-10|def1,21,20,17.0,7.0,0.782608695652174,0.4,3.0,1.0,0.3333333333333333,standard,field block,right,4.0,3.0,IMG_6189.MOV,00:10,1.0
1_P0022,1,west_sub,evanston,3,05:35,335.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,goal,goal,True,False,False,False,False,False,False,False,2.0,def2p,1.0,right,0.7,0.2666666667,5.657,45.0,45.0,254.565,5-8,45-90,5-8|MU0,5-8|def2p,22,21,18.0,7.0,0.7916666666666666,0.38095238095238093,3.0,0.0,0.16666666666666666,lob,goal,right,4.0,1.0,IMG_6190.MOV,00:15,1.0
1_P0023,1,west_sub,evanston,3,04:21,261.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,shot_no_goal,blocked (GK),True,False,False,False,False,False,False,False,1.0,def1,1.5,center,0.55,0.4,6.083,9.46,9.46,57.54518000000001,5-8,0-15,5-8|MU0,5-8|def1,23,22,19.0,8.0,0.8,0.4090909090909091,3.0,1.0,0.3333333333333333,standard,blocked (GK),right,7.0,2.0,IMG_6194.MOV,00:09,1.0
