match_id,video_file,t_start,t_end,team,shooter,outcome,x,y,goal_x,goal_y,angle_deg_signed,distance_m,shot_type,pressure,man_up,goalie_x,goalie_y,quarter,clock,notes,schema_version
2,IMG_6134.MOV,,,west_sub,nan,nan,,,0.0,0.0,,,nan,nan,0,,,2.0,04:33,,1
2,IMG_6136.MOV,,,west_sub,7.0,goal,0.55,0.1333333333,0.0,0.0,-90.0,0.5659308948704682,standard,1.0,0,,,2.0,03:45,,1
2,IMG_6137.MOV,,,west_sub,7.0,miss,0.6,0.2,0.0,0.0,-90.0,0.6324555320336759,standard,2.0,0,,,3.0,06:35,,1
2,IMG_6139.MOV,,,west_sub,5.0,post,0.45,0.4666666667,0.0,0.0,-90.0,0.6482883446498856,standard,1.0,0,,,3.0,05:46,,1
2,IMG_6139.MOV,,,west_sub,nan,nan,,,0.0,0.0,,,nan,nan,0,,,3.0,05:31,,1
2,IMG_6140.MOV,,,west_sub,nan,nan,,,0.0,0.0,,,nan,nan,0,,,3.0,04:53,,1
2,IMG_6141.MOV,,,west_sub,4.0,goal,0.6,0.1333333333,0.0,0.0,-90.0,0.6146362971456282,standard,1.0,0,,,3.0,04:26,,1
2,IMG_6142.MOV,,,west_sub,7.0,goal,0.6,0.1333333333,0.0,0.0,-90.0,0.6146362971456282,standard,1.0,0,,,3.0,03:53,,1
2,IMG_6143.MOV,,,west_sub,12.0,post,0.4,0.2,0.0,0.0,-90.0,0.447213595499958,lob,2.0,0,,,4.0,06:49,,1
2,IMG_6144.MOV,,,west_sub,3.0,blocked,0.5,0.2,0.0,0.0,-90.0,0.5385164807134505,standard,1.0,0,,,4.0,06:12,,1
2,IMG_6145.MOV,,,west_sub,nan,nan,,,0.0,0.0,,,nan,nan,0,,,4.0,06:06,,1
2,IMG_6145.MOV,,,west_sub,5.0,goal,0.5,0.06666666667,0.0,0.0,-90.0,0.5044248650144925,standard,0.0,0,,,4.0,05:23,,1
2,IMG_6149.MOV,,,west_sub,nan,nan,,,0.0,0.0,,,nan,nan,0,,,4.0,04:46,,1
2,IMG_6150.MOV,,,west_sub,4.0,goal,0.65,0.06666666667,0.0,0.0,-90.0,0.6534098594640955,standard,0.0,0,,,4.0,04:13,,1
3,IMG_0157.MOV,,,west_sub,4.0,blocked,0.55,0.4666666667,0.0,0.0,-90.0,0.7213028336343127,standard,1.0,0,,,1.0,06:46,,1
3,IMG_0159.MOV,,,west_sub,6.0,goal,0.35,0.3333333333,0.0,0.0,-90.0,0.48333333331034484,standard,1.0,0,,,1.0,06:10,,1
3,IMG_0163.MOV,,,west_sub,nan,nan,,,0.0,0.0,,,nan,nan,0,,,1.0,05:35,,1
3,IMG_0165.MOV,,,west_sub,4.0,goal,0.5,0.4,0.0,0.0,-90.0,0.6403124237432849,standard,1.0,0,,,1.0,04:47,,1
3,IMG_0168.MOV,,,west_sub,2.0,goal,0.35,0.2,0.0,0.0,-90.0,0.40311288741492746,standard,2.0,0,,,1.0,04:04,,1
3,IMG_0172.MOV,,,west_sub,5.0,miss,0.55,0.2666666667,0.0,0.0,-90.0,0.6112373607109508,tip/deflection,1.0,0,,,2.0,06:13,,1
3,IMG_0176.MOV,,,west_sub,6.0,blocked,0.35,0.4,0.0,0.0,-90.0,0.5315072906367325,standard,2.0,0,,,2.0,05:11,,1
3,IMG_0177.MOV,,,west_sub,6.0,goal,0.5,0.3333333333,0.0,0.0,-90.0,0.6009252125588416,standard,0.0,0,,,2.0,05:09,,1
